Metrics,1,2,3,4,5,6,7,8,9
Train task,"['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'GATA2_copy']","['GATA2', 'GATA2_copy']","['GATA2', 'GATA2_copy']","['SPI1', 'SPI1_copy']","['SPI1', 'SPI1_copy']","['SPI1', 'SPI1_copy']"
Valid task,"['GATA2', 'SPI1']","['GATA2', 'GATA2_copy']","['SPI1', 'SPI1_copy']","['GATA2', 'SPI1']","['GATA2', 'GATA2_copy']","['SPI1', 'SPI1_copy']","['GATA2', 'SPI1']","['GATA2', 'GATA2_copy']","['SPI1', 'SPI1_copy']"
Test task,"['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']","['GATA2', 'SPI1']"
Test profile NLL,"92.134246, 38.512237","93.459851, 38.548950","91.735879, 38.326646","96.054012, 56.283058","97.167902, 62.347154","95.044155, 50.312271","104.007455, 38.103087","103.375804, 38.028500","104.150870, 38.221683"
Test profile cross entropy,"5.281368, 3.800170","5.299768, 3.791209","5.250075, 3.772838","5.722465, 4.891533","5.789017, 5.230733","5.672554, 4.540930","5.455441, 3.695558","5.447940, 3.703142","5.453638, 3.689521"
Test profile JSD,"0.289243, 0.391361","0.293639, 0.395743","0.290687, 0.397077","0.279161, 0.343950","0.283303, 0.359627","0.278637, 0.355012","0.336390, 0.431290","0.335031, 0.423746","0.337822, 0.436009"
Test profile Pearson,"0.230777, 0.206886","0.222116, 0.204449","0.224488, 0.205573","0.303184, 0.201786","0.296401, 0.153923","0.305797, 0.197366","0.138757, 0.199171","0.141277, 0.200761","0.137225, 0.198794"
Test profile Spearman,"0.338940, 0.134193","0.310502, 0.149536","0.346835, 0.136951","0.337909, 0.165065","0.319816, 0.097731","0.340413, 0.136965","0.107303, 0.126901","0.113841, 0.133006","0.095621, 0.115692"
Test profile MSE,"0.000009, 0.000114","0.000009, 0.000126","0.000012, 0.000129","0.000004, 0.000011","0.000004, 0.000007","0.000004, 0.000030","0.000010, 0.000190","0.000010, 0.000178","0.000011, 0.000196"
Test count Pearson,"0.437387, 0.938075","0.430205, 0.935103","0.434193, 0.937890","0.434568, 0.933358","0.361185, 0.923371","0.412663, 0.930623","0.421772, 0.938934","0.412501, 0.939021","0.406380, 0.939048"
Test count Spearman,"0.431479, 0.997147","0.426400, 0.992279","0.401796, 0.996889","0.433920, 0.993291","0.372476, 0.983655","0.408220, 0.990046","0.428347, 0.998108","0.419229, 0.998146","0.409019, 0.998316"
Test count MSE,"0.674973, 0.038344","0.661329, 0.046903","0.526908, 0.038495","0.491563, 0.262973","0.527484, 0.326732","0.499449, 0.251323","0.837211, 0.040353","0.941218, 0.058793","0.866860, 0.041173"
